Datetime;Ambient Temperature [ºC];Global Radiation [W/m2];Diffuse Radiation [W/m2];Ultraviolet [W/m2];Wind Velocity [m/s];Wind Direction [º];Precipitation [mm];Atmospheric pressure [hPa]
2018-01-01T06:42:00+00:00;6.6;1.743065;1.6430159999999998;0.508697;1.7833329999999998;287.51838;0;1032.4
2018-01-01T06:10:00+00:00;6.9;1.455602;1.6316760000000001;0.510205;3.283333;314.33216;0;1032.0
2018-01-01T05:45:00+00:00;6.8;1.4388800000000002;1.636397;0.5042329999999999;3.083333;329.63674;0;1032.0
2018-01-01T06:12:00+00:00;6.9;1.617676;1.642105;0.510003;3.866667;313.66666;0;1032.0
2018-01-01T06:44:00+00:00;6.6;1.29424;1.645686;0.5069859999999999;1.7833329999999998;284.8147;0;1032.4
2018-01-01T05:56:00+00:00;6.9;1.5312489999999999;1.654463;0.509398;3.8;315.00018;0;1032.1
2018-01-01T06:00:00+00:00;6.8;1.940189;1.6501169999999998;0.5101;3.516667;320.50262;0;1032.1
2018-01-01T02:16:00+00:00;7.983334;1.69351;1.6677149999999998;0.500304;3.733333;325.8337;0;1032.1
2018-01-01T02:15:00+00:00;7.9;1.5781809999999998;1.661212;0.500304;3.983333;326.16668;0;1032.1
2018-01-01T02:39:00+00:00;8.2;1.575021;1.6426189999999998;0.502707;3.133333;319.5;0;1031.9166
2018-01-01T02:25:00+00:00;8.0;1.7008109999999999;1.876123;0.507714;3.083334;318.16662;0;1031.8
2018-01-01T02:37:00+00:00;8.2;1.50381;1.651251;0.50251;2.616667;321.83338;0;1031.9
2018-01-01T02:21:00+00:00;8.0;1.703334;1.6591019999999999;0.510126;2.883334;318.4997;0;1032.0
2018-01-01T02:14:00+00:00;7.9;1.40947;1.645953;0.501216;3.5;325.16662;0;1032.1
2018-01-01T03:00:00+00:00;7.9;1.782111;1.649133;0.505938;2.983333;326.0001;0;1031.8
2018-01-01T02:54:00+00:00;8.0;2.208068;1.862409;0.5086400000000001;2.8;314.5001;0;1031.9
2018-01-01T02:53:00+00:00;8.0;2.07301;1.845215;0.508539;3.1;315.3332;0;1031.9
